1,test1,5000000,40,2000000,87,5,5
2,test2,15602370,47,1800000,57,14,15
3,test3,10287540,78,5000000,90,11,12
4,test4,10213202,65,3000000,83,9,12
5,test5,7041622,45,8500000,94,1,2
6,test6,2016903,37,5000000,96,4,14
7,test7,9630003,50,1750000,34,6,12
8,test8,8024393,59,2500000,31,15,7
9,test9,4998213,52,4750000,76,10,13
10,test10,15401133,71,1800000,84,2,11
11,test11,14969363,60,7800000,64,2,12
12,test12,9760806,65,2700000,85,12,10
13,test13,8781465,80,8117917,47,13,14
14,test14,12453461,69,10131844,55,5,15
15,test15,12247516,60,4257867,71,3,5
16,test16,15462767,75,3557803,41,8,6
17,test17,16884261,67,14807728,78,14,1
18,test18,9171287,80,1640322,98,8,10
19,test19,5652059,50,2224219,91,14,10
20,test20,3179134,57,2071971,51,6,15
21,test21,15122386,77,10038027,41,5,3
22,test22,11063900,54,4462520,92,14,14
23,test23,3025001,38,1448401,85,9,11
24,test24,16965283,39,15427273,58,2,4
25,test25,6267974,61,5780657,37,13,10
26,test26,5081995,40,1631471,51,8,6
27,test27,5550980,55,3905265,94,7,15
28,test28,3770193,57,3627243,90,12,12
29,test29,10696932,36,9134793,35,4,14
30,test30,2269345,78,1871386,62,13,9
31,test31,11986270,32,4564636,51,9,12
